doc,term,weight,scheme,setting
食品安全,中国,0.03891527106472845,term_weight,top5
信息公开,事态,0.07438519179701608,term_weight,top5
生态文明,产生,0.044870466029954176,term_weight,top5
食品安全,产生,0.05105949582718923,term_weight,top5
生态文明,人类健康,0.044870466029954176,term_weight,top5
食品安全,人类健康,0.05105949582718923,term_weight,top5
信息公开,信息,0.22315557539104824,term_weight,top5
责任义务,切实履行,0.09467206228711138,term_weight,top5
公众舆论,后续处理,0.03365284952246563,term_weight,top5
排放背景,后续影响,0.05481014132411711,term_weight,top5
技术方案,含氚废水,0.08786653876605253,term_weight,top5
评估情况,含氚废水,0.04393326938302627,term_weight,top5
外交关系,周边国家,0.08010712962755578,term_weight,top5
外交关系,国民,0.06008034722066684,term_weight,top5
责任义务,国际义务,0.09467206228711138,term_weight,top5
多边合作,国际原子能机构,0.10576609849917769,term_weight,top5
评估情况,国际原子能机构,0.07403626894942439,term_weight,top5
外交关系,国际社会,0.05695097611494184,term_weight,top5
成分信息,土壤,0.06942617901054834,term_weight,top5
公众舆论,安全,0.03993933580275115,term_weight,top5
信息公开,对策,0.07438519179701608,term_weight,top5
技术方案,影响,0.05264828695491628,term_weight,top5
责任义务,态度,0.09467206228711138,term_weight,top5
成分信息,总体,0.06942617901054834,term_weight,top5
成分信息,放射性废弃物,0.06942617901054834,term_weight,top5
责任义务,政府,0.06730569904493126,term_weight,top5
信息公开,方式,0.07438519179701608,term_weight,top5
技术方案,方案,0.08786653876605253,term_weight,top5
成分信息,方面,0.06942617901054834,term_weight,top5
公众舆论,核泄漏,0.03365284952246563,term_weight,top5
排放背景,核泄漏,0.058449686012703464,term_weight,top5
公众舆论,民众健康,0.03993933580275115,term_weight,top5
生态文明,民众健康,0.026626223868500765,term_weight,top5
成分信息,污染水,0.06942617901054834,term_weight,top5
多边合作,沟通交流,0.10576609849917769,term_weight,top5
公众舆论,海洋环境,0.031129334620200573,term_weight,top5
生态文明,海洋环境,0.051882224367000955,term_weight,top5
食品安全,海洋环境,0.02361535729808319,term_weight,top5
多边合作,监测,0.10576609849917769,term_weight,top5
评估情况,监测,0.07403626894942439,term_weight,top5
多边合作,福岛,0.06276181340432323,term_weight,top5
排放背景,福岛,0.034684160039231256,term_weight,top5
排放背景,福岛核泄漏事故,0.08221521198617567,term_weight,top5
技术方案,福岛核电站,0.08786653876605253,term_weight,top5
评估情况,福岛核电站,0.04393326938302627,term_weight,top5
技术方案,评估,0.06848453616444126,term_weight,top5
评估情况,评估,0.06848453616444126,term_weight,top5
责任义务,负责任,0.09467206228711138,term_weight,top5
外交关系,负责的态度,0.08010712962755578,term_weight,top5
信息公开,通报,0.07438519179701608,term_weight,top5
排放背景,问题,0.038966457341802305,term_weight,top5
多边合作,韩方,0.10576609849917769,term_weight,top5
生态文明,食品安全,0.03993933580275115,term_weight,top5
食品安全,食品安全,0.06059761294210519,term_weight,top5
外交关系,高度,0.08010712962755578,term_weight,top5
